eplay,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
0ZVN1NI6gPEl4JqvrtYqvfln_rM9Pprouet3bH9_zpo.rep,비두로기,9 Pool,1598,1924,4949,7392,7249,8834,3372
1sG0xU9wDb5WfSKR8T2YTRBgcFsAf_uLhSJFlRdMy_k.rep,RMB-Paraco,11 Pool,2110,2414,4250,4354,5752,7426,3847
2JnC6qM__fd5_FfHiQXfPISv38k_87rG0IARKzacMGc.rep,P[]D,9 Hatch,2528,3655,2137,16734,5195,7220,13593
2JnC6qM__fd5_FfHiQXfPISv38k_87rG0IARKzacMGc.rep,ProGamerMatt,Overpool,1834,3580,2965,4802,13960,15500,4836
4JcGqEDC5bvaGFdnAJ7TUa8LMr-OUWVHLnNBq0YlQjo.rep,nOm.KilahAce,12 Hatch,3150,4033,2505,3966,5418,7161,5777
7UFkePak699zTjpovX775WM1RcaW4iXV6qdfoabZE7Q.rep,Spicy,9 Hatch,2519,4187,1872,-1,7141,-1,7288
7UFkePak699zTjpovX775WM1RcaW4iXV6qdfoabZE7Q.rep,행복스타맨,9 Gas,2137,1596,4993,-1,3926,5563,3411
BiHHTjpbhtWZ_Tb-gGdIrNYg-9kO1SJIFa7ZIDg2CBY.rep,Polarity[BGN],Overpool,1881,2701,3533,6729,4847,-1,13552
BopJ4Xur6em9KNXCTpmNOhoVsLZU8wPfDozbL69LSTE.rep,행복스타맨,7 Pool,1381,7498,7380,7461,13340,-1,8998
bRmrYAM5Vsn93T2AXX8mUEbP1G1H2nlDyERPw7HLiRk.rep,Landowner,Overpool,1834,2072,6810,-1,3333,5192,4268
bRmrYAM5Vsn93T2AXX8mUEbP1G1H2nlDyERPw7HLiRk.rep,Gandalfin,12 Pool,2225,3620,3280,3394,10458,12557,6133
c9i7YTLqtu9td5AYzaW16QjEXu3tz4HPWlM7mB3c6ek.rep,TopChop1,9 Pool,1568,1720,7484,-1,4194,5922,3266
c9i7YTLqtu9td5AYzaW16QjEXu3tz4HPWlM7mB3c6ek.rep,Ucm,Overpool,1839,1968,-1,-1,3835,5503,3185
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,C0CAINEBEAR,10/9 Pool,1779,1317,9461,9498,4112,7960,3500
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,STI__,11 Pool,2157,2496,3170,10504,8219,9909,4613
cW-TqDIWILtmosTxUqP5MGGmyfhl8Cw8G4RwlrYshv4.rep,TomasPlay,9 Pool,1573,2069,8146,-1,3520,5765,3985
cW-TqDIWILtmosTxUqP5MGGmyfhl8Cw8G4RwlrYshv4.rep,Gandalfin,Overpool,1856,1960,-1,-1,3268,4857,-1
cW85p_8vswW2JIa5YRAQWnOkZnKdIVCDv4-UEVFtBNA.rep,비두로기,Overpool,1844,3957,3735,5385,10103,11860,7388
cW85p_8vswW2JIa5YRAQWnOkZnKdIVCDv4-UEVFtBNA.rep,LK99저글링,Overpool,1883,8346,3024,4380,-1,-1,-1
cW85p_8vswW2JIa5YRAQWnOkZnKdIVCDv4-UEVFtBNA.rep,킹갓제네럴썬더라,11 Pool,1941,2384,3139,3457,12360,-1,4427
dnXQicAQStsmI0NvUlr_G_peeHtPUtLkZpF7-jSAKxQ.rep,llIlIlll,11 Pool,2043,2322,3212,-1,-1,-1,3535
dnXQicAQStsmI0NvUlr_G_peeHtPUtLkZpF7-jSAKxQ.rep,GongBiao,Overpool,1821,1926,5811,-1,3202,4785,-1
