file,player,build,Pylon 1,Pylon 2,Pylon 3,Pylon 4,Pylon 5,Gateway 1,Gateway 2,Gateway 3,Gateway 4,Gateway 5,Assimilator 1,Assimilator 2,Stargate 1,Stargate 2,Stargate 3,Stargate 4,Stargate 5,Forge 1,Citadel of Adun,Robotics Facility,Templar Archives,Robotics Support Bay,Photon Cannon 1,Photon Cannon 2,Photon Cannon 3,Photon Cannon 4,Photon Cannon 5,Observatory,Fleet Beacon,Arbiter Tribunal,Nexus 1,Nexus 2
D5lgmnnZChrldQSUjdNUcBnXnFWoxDNspAn_ZuZ5IFM.rep,iCe,,1155,2822,3647,5519,-1,1766,2368,-1,-1,-1,6352,-1,-1,-1,-1,-1,-1,6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dnXQicAQStsmI0NvUlr_G_peeHtPUtLkZpF7-jSAKxQ.rep,TommyAd0(,,1341,3214,4619,-1,-1,1999,2477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4122,-1,-1,-1,-1,5248,5583,5704,-1,-1,-1,-1,-1,-1,-1
DtYzB5Is_Obh20B_wQU7f6rgmwUOUdTuXtfpUY7n0E0.rep,nCs,,1129,3123,4889,-1,-1,1763,2579,3997,-1,-1,2154,-1,-1,-1,-1,-1,-1,5442,-1,-1,-1,-1,6202,6791,-1,-1,-1,-1,-1,-1,-1,-1
DtYzB5Is_Obh20B_wQU7f6rgmwUOUdTuXtfpUY7n0E0.rep,OnlyHope,,1208,2865,4067,5388,6644,1881,2716,3530,-1,-1,-1,-1,-1,-1,-1,-1,-1,6342,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
duoRbjAGxKrPveTYiyL32Zd48DDEyYVnPh1bI2d3g9s.rep,Gandalfin,,1114,3240,3935,4142,4875,1785,2395,2453,2465,4241,5164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eA6UQhEniZUVXJmWIKYjgBW3pGuQD4QXXYDZqb5Ya5M.rep,restel,,1191,3018,4250,5453,-1,1869,2516,7012,-1,-1,3845,-1,-1,-1,-1,-1,-1,6732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EHwiGjLLEsXUcTsqwa8ql0OEuDTr67c0FhkEWWhEO8g.rep,LargeWOK,,1188,2993,4165,6099,-1,1849,2467,-1,-1,-1,4392,-1,6328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em5riK65_OlqNOPCnXm_ZHTcXXkBGmjKmwdEl4UM1KI.rep,MrClean,,1172,3063,3843,6874,-1,1832,2460,-1,-1,-1,4560,-1,-1,-1,-1,-1,-1,5421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eRrUGYWqkGYduUGxBPhsQakYCl9ykH6vvXKmawlE_WU.rep,bananatQ,,1121,2878,4292,5017,6430,1761,2331,3737,-1,-1,5990,-1,-1,-1,-1,-1,-1,5886,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eVLdwky-9qhNGi_1CcA_DpDrmkF-EGoRHxPRHAcb2TM.rep,벌쳐너무약해요,,1228,3916,4499,5200,-1,4286,-1,-1,-1,-1,6098,-1,-1,-1,-1,-1,-1,1911,-1,-1,-1,-1,2809,4759,5739,5833,-1,-1,-1,-1,3736,-1
