file,player,build,Supply Depot 1,Supply Depot 2,Supply Depot 3,Supply Depot 4,Supply Depot 5,Barracks 1,Barracks 2,Barracks 3,Barracks 4,Barracks 5,Refinery 1,Refinery 2,Factory 1,Factory 2,Factory 3,Factory 4,Factory 5,Armory,Academy,Engineering Bay,Command Center 1,Command Center 2
rRbWElwGkZ54IEkLQqWwuZxBAw0zU-Y-0xbFfwVdSWk.rep,Yume.Dream,,1824,4039,6028,7037,-1,2246,-1,-1,-1,-1,2544,-1,3885,7129,-1,-1,-1,-1,-1,-1,5525,-1
RtNtZgHsDAp_AbhH5MCC-qKynSaoNiPJnIrSVqhJ7ww.rep,EastHampton,,1446,1467,3505,3763,5245,2113,-1,-1,-1,-1,2516,-1,4205,5891,6213,-1,-1,-1,-1,-1,-1,-1
S3QF8kefp6nasrod6XLzbtx9Kql9Wn4AnFWV2IWBbH0.rep,mustangas,,1505,3886,5698,6057,6952,2291,-1,-1,-1,-1,2389,-1,3582,6341,-1,-1,-1,-1,-1,-1,-1,-1
S70jloMGt2DpBq_MhHWxg8qRDF4b7iqCZQZyuurjJzw.rep,probewithadream,,1375,3416,5115,6541,-1,2071,2688,-1,-1,-1,3870,-1,5634,5644,5651,-1,-1,-1,-1,-1,-1,-1
SBIB6-I9EaVZMar_YodnbBettjPeAG4X85ML1CYcVr0.rep,또란,,1510,3432,3925,6187,-1,2171,2555,2570,6898,6909,4245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sIVLynJYLKYJG3vQsEMPCxBwsIgbxdI9DfY25I2QFaM.rep,LK99 또란,,1840,3920,-1,-1,-1,1556,2509,-1,-1,-1,3539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
t0Mt2nmgQgQT3AgEthsDUKFUFGLm2gHM_Jv3OCQYaY8.rep,EastHampton,,1475,3401,4107,6925,-1,2135,4161,6670,-1,-1,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
t0Mt2nmgQgQT3AgEthsDUKFUFGLm2gHM_Jv3OCQYaY8.rep,llIlIlllIll,,1337,3268,5287,6315,-1,2059,-1,-1,-1,-1,2431,-1,3731,4986,-1,-1,-1,-1,-1,-1,-1,-1
TVPaSqm78IRGgihOdnjJ0esTAqRR9SUkVIYcxI9-e8U.rep,Death__yell,,1394,3118,5439,6617,6925,2202,2329,-1,-1,-1,2380,-1,4071,4226,4889,5949,5957,-1,-1,-1,-1,-1
u4_1E8OXe_Cp5JY2XPDqyEgG7mUdnihrio0E_hVE88s.rep,discovision,,1378,3440,4918,6626,-1,2069,2693,-1,-1,-1,4294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
UHBpa3VZ8MQCcNcCchRkQaMxwEylVwW9jzvrw5rjzA4.rep,또란,,1362,3223,-1,-1,-1,2053,-1,-1,-1,-1,2908,-1,4436,5375,5389,-1,-1,-1,-1,-1,-1,-1
UWAn8wkMrg2KvuQZ9_oFkqhJRcM5543-XOD5DJ15gSg.rep,EastHampton,,1470,3508,5088,-1,-1,2134,-1,-1,-1,-1,2521,-1,4411,-1,-1,-1,-1,-1,-1,-1,-1,-1
v2kIcr9XglfrokmXWs2J-U2PumVoTSb6Psbriibzozo.rep,SodaPep,,1499,3714,5913,6605,-1,2326,-1,-1,-1,-1,2708,-1,4311,6194,6291,-1,-1,-1,-1,-1,5728,5791
v2kIcr9XglfrokmXWs2J-U2PumVoTSb6Psbriibzozo.rep,Tronos,,1554,3317,5826,6907,-1,2135,-1,-1,-1,-1,2450,-1,3954,4646,6034,-1,-1,-1,-1,-1,-1,-1
vewsrd9D7krh_rjPlVBlNWKN-N48LWc7V7iTdQn_iZM.rep,discovision,,1373,3086,3278,5168,6384,2072,-1,-1,-1,-1,2535,-1,4086,4877,6236,-1,-1,-1,-1,-1,-1,-1
vewsrd9D7krh_rjPlVBlNWKN-N48LWc7V7iTdQn_iZM.rep,EastHampton,,1433,3448,4372,-1,-1,2094,-1,-1,-1,-1,2515,-1,3746,5388,-1,-1,-1,-1,-1,-1,-1,-1
VkIcHDubUz3MVT-dEI7_keAENG7Xm7mpsaQih0OPFkQ.rep,EastHampton,,1426,3642,5306,6964,-1,2083,-1,-1,-1,-1,2525,-1,4001,5003,6330,-1,-1,-1,-1,-1,-1,-1
